C/P:,Collection,IsInterface?,Methods,Useless,Box,CompoundBox,Sampler,Canopy,Immutable,Implementor,PseudoClass,Pool,ControlledCreation,Overrider,Sink,Stateless,CommonState,Outline,FunctionPointer,FunctionObject,Joiner,Designator,Record,Taxonomy,PureType,AugmentedType,Extender,DataManager,Trait,CobolLike,StateMachine,Recursive
sun.swing.SwingUtilities2$1,rt,N,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sun.swing.SwingUtilities2$2,rt,N,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.sun.org.apache.bcel.internal.classfile.LocalVariableTable,rt,N,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java.awt.geom.Line2D$Double,rt,N,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jcp.xml.dsig.internal.dom.DOMTransform,rt,N,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javax.swing.text.DefaultCaret$1,rt,N,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.sun.xml.internal.messaging.saaj.soap.impl.TextImpl,rt,N,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
javax.swing.plaf.basic.LazyActionMap,rt,N,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.sun.org.apache.xml.internal.security.keys.content.keyvalues.RSAKeyValue,rt,N,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javax.xml.crypto.dsig.TransformService,rt,N,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.sun.xml.internal.ws.handler.SOAPHandlerProcessor,rt,N,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
javax.swing.plaf.synth.ColorType,rt,N,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
com.sun.java.swing.plaf.nimbus.InternalFrameInternalFrameTitlePaneInternalFrameTitlePaneMaximizeButtonPainter,rt,N,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.sun.xml.internal.txw2.output.ResultFactory,rt,N,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
javax.swing.GroupLayout$ParallelGroup,rt,N,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javax.naming.ldap.LdapContext,rt,Yes,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javax.sound.midi.MetaEventListener,rt,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
javax.swing.plaf.synth.SynthFormattedTextFieldUI,rt,N,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
java.util.Collections$CheckedMap$CheckedEntrySet$1,rt,N,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.omg.CORBA.AnySeqHolder,rt,N,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sun.awt.shell.Win32ShellFolderManager2$ComInvoker,rt,N,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
com.sun.org.apache.bcel.internal.generic.ConstantPoolGen$Index,rt,N,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sun.security.validator.ValidatorException,rt,N,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
java.lang.reflect.GenericSignatureFormatError,rt,N,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
com.sun.org.apache.xml.internal.security.keys.content.KeyName,rt,N,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javax.sql.rowset.BaseRowSet,rt,N,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javax.swing.text.GapContent$MarkVector,rt,N,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sun.text.resources.FormatData_sr_CS,rt,N,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sun.awt.windows.WEmbeddedFrame$1,rt,N,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
javax.sound.sampled.FloatControl,rt,N,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sun.font.GlyphLayout$LayoutEngineKey,rt,N,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javax.management.monitor.Monitor$ObservedObject,rt,N,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sun.reflect.Reflection,rt,N,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
com.sun.xml.internal.ws.api.pipe.TransportPipeFactory,rt,N,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
java.security.DigestInputStream,rt,N,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
